2025-08-01T20:28:26.498900+09:00,アメリカ（米国）,1時間00分,42分前
2025-08-01T20:28:26.498926+09:00,アラブ首長国連邦,0時間10分以下,60分以上前
2025-08-01T20:28:26.498933+09:00,オーストリア,0時間30分,60分以上前
2025-08-01T20:28:26.498939+09:00,カタール,0時間10分以下,60分以上前
2025-08-01T20:28:26.498944+09:00,カナダ,0時間40分,60分以上前
2025-08-01T20:28:26.498949+09:00,クウェート,0時間40分,60分以上前
2025-08-01T20:28:26.498954+09:00,コモンズ-A,0時間10分以下,60分以上前
2025-08-01T20:28:26.498962+09:00,コロンビア,0時間15分,12分前
2025-08-01T20:28:26.498967+09:00,スイス,0時間50分,60分以上前
2025-08-01T20:28:26.498972+09:00,チェコ,0時間20分,60分以上前
2025-08-01T20:28:26.498977+09:00,トルクメニスタン,0時間20分,60分以上前
2025-08-01T20:28:26.498981+09:00,バーレーン,0時間20分,60分以上前
2025-08-01T20:28:26.498985+09:00,フィリピン,0時間30分,60分以上前
2025-08-01T20:28:26.498989+09:00,ブラジル,0時間20分,60分以上前
2025-08-01T20:28:26.498993+09:00,フランス,0時間20分,60分以上前
2025-08-01T20:28:26.498997+09:00,ベトナム,0時間10分以下,60分以上前
2025-08-01T20:28:26.499001+09:00,ペルー,0時間20分,60分以上前
2025-08-01T20:28:26.499008+09:00,ポルトガル,0時間10分以下,60分以上前
2025-08-01T20:28:26.499012+09:00,マルタ,0時間20分,60分以上前
2025-08-01T20:28:26.499016+09:00,マレーシア,0時間20分,60分以上前
2025-08-01T20:28:26.499020+09:00,ミャクミャクハウス,情報なし,情報なし
2025-08-01T20:28:26.499024+09:00,モザンビーク,0時間10分以下,60分以上前
2025-08-01T20:28:26.499028+09:00,ヨルダン,情報なし,情報なし
2025-08-01T20:28:26.499032+09:00,ロボット ＆モビリティ ステーション,情報なし,情報なし
2025-08-01T20:28:26.499042+09:00,国際機関協同館,情報なし,情報なし
2025-08-01T20:28:26.499047+09:00,国際赤十字 ・赤新月運動館,0時間30分,60分以上前
2025-08-01T20:28:26.499051+09:00,国連,情報なし,情報なし
2025-08-01T20:28:26.499056+09:00,中国,0時間20分,60分以上前
2025-08-01T20:28:26.499060+09:00,北欧館,0時間20分,60分以上前
2025-08-01T20:28:26.499064+09:00,万博博物館,情報なし,情報なし
2025-08-01T20:28:26.499067+09:00,アゼルバイジャン,0時間20分,60分以上前
2025-08-01T20:28:26.499072+09:00,インドネシア,0時間10分以下,60分以上前
2025-08-01T20:28:26.499075+09:00,インド,情報なし,情報なし
2025-08-01T20:28:26.499080+09:00,ウズベキスタン,0時間40分,60分以上前
2025-08-01T20:28:26.499084+09:00,エジプト,0時間40分,60分以上前
2025-08-01T20:28:26.499088+09:00,オーストラリア,0時間10分以下,46分前
2025-08-01T20:28:26.499092+09:00,コモンズ-B,情報なし,情報なし
2025-08-01T20:28:26.499096+09:00,コモンズ-F,0時間40分,60分以上前
2025-08-01T20:28:26.499100+09:00,サウジアラビア,0時間10分以下,60分以上前
2025-08-01T20:28:26.499103+09:00,スペイン,0時間10分以下,60分以上前
2025-08-01T20:28:26.499107+09:00,セネガル,情報なし,情報なし
2025-08-01T20:28:26.499111+09:00,セルビア,0時間30分,35分前
2025-08-01T20:28:26.499116+09:00,タイ,0時間15分,60分以上前
2025-08-01T20:28:26.499119+09:00,チャド,情報なし,情報なし
2025-08-01T20:28:26.499123+09:00,ドイツ,0時間30分,60分以上前
2025-08-01T20:28:26.499127+09:00,トルコ,0時間10分以下,60分以上前
2025-08-01T20:28:26.499131+09:00,ネパール,0時間10分以下,60分以上前
2025-08-01T20:28:26.499135+09:00,バングラデシュ,情報なし,情報なし
2025-08-01T20:28:26.499139+09:00,モナコ,0時間10分以下,60分以上前
2025-08-01T20:28:26.499145+09:00,夜の地球,情報なし,情報なし
2025-08-01T20:28:26.499149+09:00,ルクセンブルク,1時間30分,60分以上前
2025-08-01T20:28:26.499153+09:00,大韓民国（韓国）,0時間30分,60分以上前
2025-08-01T20:28:26.499157+09:00,Better Co-Being,情報なし,情報なし
2025-08-01T20:28:26.499161+09:00,Dialogue Theater -いのちのあかし-,情報なし,情報なし
2025-08-01T20:28:26.499165+09:00,EARTH MART,予約のみ,予約のみ
2025-08-01T20:28:26.499170+09:00,null²,予約のみ,予約のみ
2025-08-01T20:28:26.499174+09:00,いのちの未来,予約のみ,予約のみ
2025-08-01T20:28:26.499178+09:00,いのちの遊び場 クラゲ館,情報なし,情報なし
2025-08-01T20:28:26.499184+09:00,いのち めぐる冒険,予約のみ,予約のみ
2025-08-01T20:28:26.499188+09:00,いのち 動的平衡館,予約のみ,予約のみ
2025-08-01T20:28:26.499193+09:00,EU,0時間10分以下,60分以上前
2025-08-01T20:28:26.499197+09:00,アルジェリア,情報なし,情報なし
2025-08-01T20:28:26.499201+09:00,アンゴラ,0時間30分,60分以上前
2025-08-01T20:28:26.499205+09:00,イタリア,4時間00分,60分以上前
2025-08-01T20:28:26.499211+09:00,オマーン,0時間20分,60分以上前
2025-08-01T20:28:26.499215+09:00,オランダ,1時間30分,60分以上前
2025-08-01T20:28:26.499219+09:00,カンボジア,情報なし,情報なし
2025-08-01T20:28:26.499223+09:00,コモンズ-C,情報なし,情報なし
2025-08-01T20:28:26.499227+09:00,コモンズ-D,情報なし,情報なし
2025-08-01T20:28:26.499231+09:00,コモンズ-E,情報なし,情報なし
2025-08-01T20:28:26.499235+09:00,シンガポール,0時間10分以下,48分前
2025-08-01T20:28:26.499239+09:00,チュニジア,0時間10分以下,07分前
2025-08-01T20:28:26.499243+09:00,チリ,情報なし,情報なし
2025-08-01T20:28:26.499246+09:00,バルト,0時間10分以下,60分以上前
2025-08-01T20:28:26.499250+09:00,ハンガリー,0時間30分,60分以上前
2025-08-01T20:28:26.499255+09:00,ブルガリア,1時間00分,60分以上前
2025-08-01T20:28:26.499259+09:00,ベルギー,0時間15分,60分以上前
2025-08-01T20:28:26.499263+09:00,ポーランド,0時間30分,60分以上前
2025-08-01T20:28:26.499267+09:00,ルーマニア,1時間00分,60分以上前
2025-08-01T20:28:26.499271+09:00,英国（イギリス）,0時間40分,60分以上前
2025-08-01T20:28:26.499275+09:00,フューチャー ライフ ヴィレッジ,情報なし,情報なし
2025-08-01T20:28:26.499279+09:00,未来の都市,情報なし,情報なし
2025-08-01T20:28:26.499283+09:00,BLUE  OCEAN  DOME,予約のみ,予約のみ
2025-08-01T20:28:26.499295+09:00,GUNDAMNEXT  FUTURE  PAVILION,予約のみ,予約のみ
2025-08-01T20:28:26.499299+09:00,ORA外食パビリオン  「宴～UTAGE～」,情報なし,情報なし
2025-08-01T20:28:26.499304+09:00,PASONA  NATUREVERSE,0時間15分,16分前
2025-08-01T20:28:26.499308+09:00,TECH WORLD,1時間20分,60分以上前
2025-08-01T20:28:26.499312+09:00,ガスパビリオン  おばけワンダーランド,情報なし,情報なし
2025-08-01T20:28:26.499316+09:00,よしもと  waraii myraii館,情報なし,情報なし
2025-08-01T20:28:26.499320+09:00,飯田グループ ×大阪公立大学 共同出展館,0時間20分,60分以上前
2025-08-01T20:28:26.499324+09:00,NTT Pavilion,予約のみ,予約のみ
2025-08-01T20:28:26.499328+09:00,ウーマンズパビリオン  in collaboration  with Cartier,0時間40分,60分以上前
2025-08-01T20:28:26.499333+09:00,パナソニック グループパビリオン 「ノモの国」,予約のみ,予約のみ
2025-08-01T20:28:26.499337+09:00,関西パビリオン,予約のみ,予約のみ
2025-08-01T20:28:26.499341+09:00,三菱未来館,0時間30分,60分以上前
2025-08-01T20:28:26.499345+09:00,住友館,0時間30分,60分以上前
2025-08-01T20:28:26.499349+09:00,大阪ヘルスケア パビリオン,情報なし,情報なし
2025-08-01T20:28:26.499353+09:00,電力館 可能性の タマゴたち,予約のみ,予約のみ
2025-08-01T20:28:26.499357+09:00,日本館,5時間10分,60分以上前
2025-08-01T21:37:19.289283+09:00,アメリカ（米国）,0時間30分,56分前
2025-08-01T21:37:19.289309+09:00,アラブ首長国連邦,0時間10分以下,60分以上前
2025-08-01T21:37:19.289316+09:00,オーストリア,0時間30分,60分以上前
2025-08-01T21:37:19.289322+09:00,カタール,0時間10分以下,60分以上前
2025-08-01T21:37:19.289326+09:00,カナダ,0時間40分,60分以上前
2025-08-01T21:37:19.289331+09:00,クウェート,0時間40分,60分以上前
2025-08-01T21:37:19.289335+09:00,コモンズ-A,0時間10分以下,60分以上前
2025-08-01T21:37:19.289343+09:00,コロンビア,0時間15分,60分以上前
2025-08-01T21:37:19.289351+09:00,スイス,0時間50分,60分以上前
2025-08-01T21:37:19.289356+09:00,チェコ,0時間20分,60分以上前
2025-08-01T21:37:19.289360+09:00,トルクメニスタン,0時間20分,60分以上前
2025-08-01T21:37:19.289364+09:00,バーレーン,0時間20分,60分以上前
2025-08-01T21:37:19.289368+09:00,フィリピン,0時間30分,60分以上前
2025-08-01T21:37:19.289372+09:00,ブラジル,0時間20分,60分以上前
2025-08-01T21:37:19.289376+09:00,フランス,0時間20分,60分以上前
2025-08-01T21:37:19.289379+09:00,ベトナム,0時間10分以下,60分以上前
2025-08-01T21:37:19.289383+09:00,ペルー,0時間20分,60分以上前
2025-08-01T21:37:19.289387+09:00,ポルトガル,0時間10分以下,60分以上前
2025-08-01T21:37:19.289391+09:00,マルタ,0時間20分,60分以上前
2025-08-01T21:37:19.289395+09:00,マレーシア,0時間20分,60分以上前
2025-08-01T21:37:19.289399+09:00,ミャクミャクハウス,情報なし,情報なし
2025-08-01T21:37:19.289404+09:00,モザンビーク,0時間10分以下,60分以上前
2025-08-01T21:37:19.289408+09:00,ヨルダン,情報なし,情報なし
2025-08-01T21:37:19.289412+09:00,ロボット ＆モビリティ ステーション,情報なし,情報なし
2025-08-01T21:37:19.289416+09:00,国際機関協同館,情報なし,情報なし
2025-08-01T21:37:19.289420+09:00,国際赤十字 ・赤新月運動館,0時間30分,60分以上前
2025-08-01T21:37:19.289424+09:00,国連,情報なし,情報なし
2025-08-01T21:37:19.289428+09:00,中国,0時間20分,60分以上前
2025-08-01T21:37:19.289432+09:00,北欧館,0時間20分,60分以上前
2025-08-01T21:37:19.289436+09:00,万博博物館,情報なし,情報なし
2025-08-01T21:37:19.289439+09:00,アゼルバイジャン,0時間20分,60分以上前
2025-08-01T21:37:19.289443+09:00,インドネシア,0時間10分以下,60分以上前
2025-08-01T21:37:19.289447+09:00,インド,0時間10分以下,58分前
2025-08-01T21:37:19.289451+09:00,ウズベキスタン,0時間40分,60分以上前
2025-08-01T21:37:19.289455+09:00,エジプト,0時間40分,60分以上前
2025-08-01T21:37:19.289459+09:00,オーストラリア,0時間10分以下,60分以上前
2025-08-01T21:37:19.289463+09:00,コモンズ-B,情報なし,情報なし
2025-08-01T21:37:19.289466+09:00,コモンズ-F,0時間40分,60分以上前
2025-08-01T21:37:19.289470+09:00,サウジアラビア,0時間10分以下,60分以上前
2025-08-01T21:37:19.289474+09:00,スペイン,0時間10分以下,58分前
2025-08-01T21:37:19.289479+09:00,セネガル,情報なし,情報なし
2025-08-01T21:37:19.289483+09:00,セルビア,0時間30分,60分以上前
2025-08-01T21:37:19.289487+09:00,タイ,0時間15分,60分以上前
2025-08-01T21:37:19.289491+09:00,チャド,情報なし,情報なし
2025-08-01T21:37:19.289494+09:00,ドイツ,0時間30分,60分以上前
2025-08-01T21:37:19.289498+09:00,トルコ,0時間10分以下,60分以上前
2025-08-01T21:37:19.289502+09:00,ネパール,0時間10分以下,60分以上前
2025-08-01T21:37:19.289505+09:00,バングラデシュ,情報なし,情報なし
2025-08-01T21:37:19.289509+09:00,モナコ,0時間10分以下,60分以上前
2025-08-01T21:37:19.289513+09:00,夜の地球,情報なし,情報なし
2025-08-01T21:37:19.289517+09:00,ルクセンブルク,1時間30分,60分以上前
2025-08-01T21:37:19.289520+09:00,大韓民国（韓国）,0時間30分,60分以上前
2025-08-01T21:37:19.289524+09:00,Better Co-Being,情報なし,情報なし
2025-08-01T21:37:19.289528+09:00,Dialogue Theater -いのちのあかし-,情報なし,情報なし
2025-08-01T21:37:19.289532+09:00,EARTH MART,予約のみ,予約のみ
2025-08-01T21:37:19.289536+09:00,null²,予約のみ,予約のみ
2025-08-01T21:37:19.289540+09:00,いのちの未来,予約のみ,予約のみ
2025-08-01T21:37:19.289543+09:00,いのちの遊び場 クラゲ館,情報なし,情報なし
2025-08-01T21:37:19.289547+09:00,いのち めぐる冒険,予約のみ,予約のみ
2025-08-01T21:37:19.289551+09:00,いのち 動的平衡館,予約のみ,予約のみ
2025-08-01T21:37:19.289555+09:00,EU,0時間10分以下,60分以上前
2025-08-01T21:37:19.289560+09:00,アルジェリア,情報なし,情報なし
2025-08-01T21:37:19.289564+09:00,アンゴラ,0時間30分,60分以上前
2025-08-01T21:37:19.289568+09:00,イタリア,2時間00分,59分前
2025-08-01T21:37:19.289572+09:00,オマーン,0時間20分,60分以上前
2025-08-01T21:37:19.289576+09:00,オランダ,1時間30分,60分以上前
2025-08-01T21:37:19.289579+09:00,カンボジア,情報なし,情報なし
2025-08-01T21:37:19.289583+09:00,コモンズ-C,情報なし,情報なし
2025-08-01T21:37:19.289587+09:00,コモンズ-D,情報なし,情報なし
2025-08-01T21:37:19.289591+09:00,コモンズ-E,情報なし,情報なし
2025-08-01T21:37:19.289594+09:00,シンガポール,0時間10分以下,60分以上前
2025-08-01T21:37:19.289598+09:00,チュニジア,0時間10分以下,60分以上前
2025-08-01T21:37:19.289602+09:00,チリ,情報なし,情報なし
2025-08-01T21:37:19.289605+09:00,バルト,0時間10分以下,60分以上前
2025-08-01T21:37:19.289609+09:00,ハンガリー,0時間30分,60分以上前
2025-08-01T21:37:19.289613+09:00,ブルガリア,1時間00分,60分以上前
2025-08-01T21:37:19.289616+09:00,ベルギー,0時間15分,60分以上前
2025-08-01T21:37:19.289620+09:00,ポーランド,0時間30分,60分以上前
2025-08-01T21:37:19.289624+09:00,ルーマニア,1時間00分,60分以上前
2025-08-01T21:37:19.289628+09:00,英国（イギリス）,0時間40分,60分以上前
2025-08-01T21:37:19.289632+09:00,フューチャー ライフ ヴィレッジ,情報なし,情報なし
2025-08-01T21:37:19.289637+09:00,未来の都市,情報なし,情報なし
2025-08-01T21:37:19.289641+09:00,BLUE  OCEAN  DOME,予約のみ,予約のみ
2025-08-01T21:37:19.289645+09:00,GUNDAMNEXT  FUTURE  PAVILION,予約のみ,予約のみ
2025-08-01T21:37:19.289649+09:00,ORA外食パビリオン  「宴～UTAGE～」,情報なし,情報なし
2025-08-01T21:37:19.289653+09:00,PASONA  NATUREVERSE,0時間15分,60分以上前
2025-08-01T21:37:19.289656+09:00,TECH WORLD,1時間20分,60分以上前
2025-08-01T21:37:19.289660+09:00,ガスパビリオン  おばけワンダーランド,情報なし,情報なし
2025-08-01T21:37:19.289664+09:00,よしもと  waraii myraii館,情報なし,情報なし
2025-08-01T21:37:19.289668+09:00,飯田グループ ×大阪公立大学 共同出展館,0時間20分,60分以上前
2025-08-01T21:37:19.289672+09:00,NTT Pavilion,予約のみ,予約のみ
2025-08-01T21:37:19.289678+09:00,ウーマンズパビリオン  in collaboration  with Cartier,0時間40分,60分以上前
2025-08-01T21:37:19.289683+09:00,パナソニック グループパビリオン 「ノモの国」,予約のみ,予約のみ
2025-08-01T21:37:19.289688+09:00,関西パビリオン,予約のみ,予約のみ
2025-08-01T21:37:19.289692+09:00,三菱未来館,0時間30分,60分以上前
2025-08-01T21:37:19.289696+09:00,住友館,0時間30分,60分以上前
2025-08-01T21:37:19.289699+09:00,大阪ヘルスケア パビリオン,情報なし,情報なし
2025-08-01T21:37:19.289703+09:00,電力館 可能性の タマゴたち,予約のみ,予約のみ
2025-08-01T21:37:19.289707+09:00,日本館,1時間00分,14分前
2025-08-01T22:35:41.362318+09:00,アメリカ（米国）,0時間30分,60分以上前
2025-08-01T22:35:41.362346+09:00,アラブ首長国連邦,0時間10分以下,60分以上前
2025-08-01T22:35:41.362354+09:00,オーストリア,0時間30分,60分以上前
2025-08-01T22:35:41.362363+09:00,カタール,0時間10分以下,60分以上前
2025-08-01T22:35:41.362369+09:00,カナダ,0時間40分,60分以上前
2025-08-01T22:35:41.362375+09:00,クウェート,0時間40分,60分以上前
2025-08-01T22:35:41.362381+09:00,コモンズ-A,0時間10分以下,60分以上前
2025-08-01T22:35:41.362391+09:00,コロンビア,0時間15分,60分以上前
2025-08-01T22:35:41.362398+09:00,スイス,0時間50分,60分以上前
2025-08-01T22:35:41.362407+09:00,チェコ,0時間20分,60分以上前
2025-08-01T22:35:41.362412+09:00,トルクメニスタン,0時間20分,60分以上前
2025-08-01T22:35:41.362418+09:00,バーレーン,0時間20分,60分以上前
2025-08-01T22:35:41.362423+09:00,フィリピン,0時間30分,60分以上前
2025-08-01T22:35:41.362427+09:00,ブラジル,0時間20分,60分以上前
2025-08-01T22:35:41.362432+09:00,フランス,0時間20分,60分以上前
2025-08-01T22:35:41.362437+09:00,ベトナム,0時間10分以下,60分以上前
2025-08-01T22:35:41.362442+09:00,ペルー,0時間20分,60分以上前
2025-08-01T22:35:41.362447+09:00,ポルトガル,0時間10分以下,60分以上前
2025-08-01T22:35:41.362452+09:00,マルタ,0時間20分,60分以上前
2025-08-01T22:35:41.362456+09:00,マレーシア,0時間20分,60分以上前
2025-08-01T22:35:41.362461+09:00,ミャクミャクハウス,情報なし,情報なし
2025-08-01T22:35:41.362469+09:00,モザンビーク,0時間10分以下,60分以上前
2025-08-01T22:35:41.362474+09:00,ヨルダン,情報なし,情報なし
2025-08-01T22:35:41.362479+09:00,ロボット ＆モビリティ ステーション,情報なし,情報なし
2025-08-01T22:35:41.362484+09:00,国際機関協同館,情報なし,情報なし
2025-08-01T22:35:41.362489+09:00,国際赤十字 ・赤新月運動館,0時間30分,60分以上前
2025-08-01T22:35:41.362495+09:00,国連,情報なし,情報なし
2025-08-01T22:35:41.362500+09:00,中国,0時間20分,60分以上前
2025-08-01T22:35:41.362505+09:00,北欧館,0時間20分,60分以上前
2025-08-01T22:35:41.362510+09:00,万博博物館,情報なし,情報なし
2025-08-01T22:35:41.362515+09:00,アゼルバイジャン,0時間20分,60分以上前
2025-08-01T22:35:41.362520+09:00,インドネシア,0時間10分以下,60分以上前
2025-08-01T22:35:41.362525+09:00,インド,0時間10分以下,60分以上前
2025-08-01T22:35:41.362529+09:00,ウズベキスタン,0時間40分,60分以上前
2025-08-01T22:35:41.362533+09:00,エジプト,0時間40分,60分以上前
2025-08-01T22:35:41.362537+09:00,オーストラリア,0時間10分以下,60分以上前
2025-08-01T22:35:41.362541+09:00,コモンズ-B,情報なし,情報なし
2025-08-01T22:35:41.362545+09:00,コモンズ-F,0時間40分,60分以上前
2025-08-01T22:35:41.362549+09:00,サウジアラビア,0時間10分以下,60分以上前
2025-08-01T22:35:41.362553+09:00,スペイン,0時間10分以下,60分以上前
2025-08-01T22:35:41.362557+09:00,セネガル,情報なし,情報なし
2025-08-01T22:35:41.362563+09:00,セルビア,0時間30分,60分以上前
2025-08-01T22:35:41.362567+09:00,タイ,0時間15分,60分以上前
2025-08-01T22:35:41.362571+09:00,チャド,情報なし,情報なし
2025-08-01T22:35:41.362575+09:00,ドイツ,0時間30分,60分以上前
2025-08-01T22:35:41.362580+09:00,トルコ,0時間10分以下,60分以上前
2025-08-01T22:35:41.362583+09:00,ネパール,0時間10分以下,60分以上前
2025-08-01T22:35:41.362587+09:00,バングラデシュ,情報なし,情報なし
2025-08-01T22:35:41.362592+09:00,モナコ,0時間10分以下,60分以上前
2025-08-01T22:35:41.362596+09:00,夜の地球,情報なし,情報なし
2025-08-01T22:35:41.362600+09:00,ルクセンブルク,1時間30分,60分以上前
2025-08-01T22:35:41.362604+09:00,大韓民国（韓国）,0時間30分,60分以上前
2025-08-01T22:35:41.362608+09:00,Better Co-Being,情報なし,情報なし
2025-08-01T22:35:41.362612+09:00,Dialogue Theater -いのちのあかし-,情報なし,情報なし
2025-08-01T22:35:41.362617+09:00,EARTH MART,予約のみ,予約のみ
2025-08-01T22:35:41.362621+09:00,null²,予約のみ,予約のみ
2025-08-01T22:35:41.362625+09:00,いのちの未来,予約のみ,予約のみ
2025-08-01T22:35:41.362629+09:00,いのちの遊び場 クラゲ館,情報なし,情報なし
2025-08-01T22:35:41.362633+09:00,いのち めぐる冒険,予約のみ,予約のみ
2025-08-01T22:35:41.362637+09:00,いのち 動的平衡館,予約のみ,予約のみ
2025-08-01T22:35:41.362642+09:00,EU,0時間10分以下,60分以上前
2025-08-01T22:35:41.362648+09:00,アルジェリア,情報なし,情報なし
2025-08-01T22:35:41.362652+09:00,アンゴラ,0時間30分,60分以上前
2025-08-01T22:35:41.362656+09:00,イタリア,2時間00分,60分以上前
2025-08-01T22:35:41.362661+09:00,オマーン,0時間20分,60分以上前
2025-08-01T22:35:41.362665+09:00,オランダ,1時間30分,60分以上前
2025-08-01T22:35:41.362669+09:00,カンボジア,情報なし,情報なし
2025-08-01T22:35:41.362673+09:00,コモンズ-C,情報なし,情報なし
2025-08-01T22:35:41.362677+09:00,コモンズ-D,情報なし,情報なし
2025-08-01T22:35:41.362680+09:00,コモンズ-E,情報なし,情報なし
2025-08-01T22:35:41.362684+09:00,シンガポール,0時間10分以下,60分以上前
2025-08-01T22:35:41.362688+09:00,チュニジア,0時間10分以下,60分以上前
2025-08-01T22:35:41.362692+09:00,チリ,情報なし,情報なし
2025-08-01T22:35:41.362696+09:00,バルト,0時間10分以下,60分以上前
2025-08-01T22:35:41.362700+09:00,ハンガリー,0時間30分,60分以上前
2025-08-01T22:35:41.362704+09:00,ブルガリア,1時間00分,60分以上前
2025-08-01T22:35:41.362708+09:00,ベルギー,0時間15分,60分以上前
2025-08-01T22:35:41.362712+09:00,ポーランド,0時間30分,60分以上前
2025-08-01T22:35:41.362716+09:00,ルーマニア,1時間00分,60分以上前
2025-08-01T22:35:41.362720+09:00,英国（イギリス）,0時間40分,60分以上前
2025-08-01T22:35:41.362724+09:00,フューチャー ライフ ヴィレッジ,情報なし,情報なし
2025-08-01T22:35:41.362730+09:00,未来の都市,情報なし,情報なし
2025-08-01T22:35:41.362734+09:00,BLUE  OCEAN  DOME,予約のみ,予約のみ
2025-08-01T22:35:41.362738+09:00,GUNDAMNEXT  FUTURE  PAVILION,予約のみ,予約のみ
2025-08-01T22:35:41.362742+09:00,ORA外食パビリオン  「宴～UTAGE～」,情報なし,情報なし
2025-08-01T22:35:41.362747+09:00,PASONA  NATUREVERSE,0時間15分,60分以上前
2025-08-01T22:35:41.362751+09:00,TECH WORLD,1時間20分,60分以上前
2025-08-01T22:35:41.362755+09:00,ガスパビリオン  おばけワンダーランド,情報なし,情報なし
2025-08-01T22:35:41.362762+09:00,よしもと  waraii myraii館,情報なし,情報なし
2025-08-01T22:35:41.362766+09:00,飯田グループ ×大阪公立大学 共同出展館,0時間20分,60分以上前
2025-08-01T22:35:41.362770+09:00,NTT Pavilion,予約のみ,予約のみ
2025-08-01T22:35:41.362775+09:00,ウーマンズパビリオン  in collaboration  with Cartier,0時間40分,60分以上前
2025-08-01T22:35:41.362779+09:00,パナソニック グループパビリオン 「ノモの国」,予約のみ,予約のみ
2025-08-01T22:35:41.362784+09:00,関西パビリオン,予約のみ,予約のみ
2025-08-01T22:35:41.362788+09:00,三菱未来館,0時間30分,60分以上前
2025-08-01T22:35:41.362792+09:00,住友館,0時間30分,60分以上前
2025-08-01T22:35:41.362796+09:00,大阪ヘルスケア パビリオン,情報なし,情報なし
2025-08-01T22:35:41.362800+09:00,電力館 可能性の タマゴたち,予約のみ,予約のみ
2025-08-01T22:35:41.362804+09:00,日本館,1時間00分,60分以上前
